country,university,website
BD,Ahsanullah University of Science & Technology,http://www.aust.edu/
BD,American International University - Bangladesh,http://www.aiub.edu/
BD,Asa University Bangladesh,http://www.asaub.edu.bd/
BD,Asian University of Bangladesh,http://www.aub-bd.org/
BD,Atish Dipankar University,http://www.atishdipankaruniversity.edu.bd/
BD,Bangabandhu Sheikh Mujibur Rahman Agricultural University,http://www.bsmrau.edu.bd/
BD,Bangabandhu Sheikh Mujibur Rahman Medical University,http://www.bsmmu.edu.bd/
BD,Bangladesh Agricultural University,http://www.bau.edu.bd/
BD,Bangladesh Open University,http://www.bou.edu.bd/
BD,Bangladesh University,http://www.bu.edu.bd/
BD,Bangladesh University of Business & Technology,http://www.bubt.edu.bd/
BD,Bangladesh University of Engineering and Technology,http://www.buet.ac.bd/
BD,Bangladesh University of Professionals,http://www.bup.edu.bd/
BD,Bangladesh University of Textiles,http://www.butex.edu.bd/
BD,"Begum Rokeya University, Rangpur",http://www.brur.ac.bd/
BD,"BGC Trust University, Bangladesh",http://www.bgctrustbd.org/btub/
BD,Brac University,http://www.bracuniversity.net/
BD,Chittagong Independent University,http://www.ciu.edu.bd/
BD,Chittagong University of Engineering and Technology,http://www.cuet.ac.bd/
BD,City University,http://www.cityuniversity.edu.bd/
BD,Comilla University,http://www.cou.ac.bd/
BD,Daffodil International University,http://www.daffodilvarsity.edu.bd/
BD,Darul Ihsan University,http://www.diu.ac.bd/
BD,Dhaka International University,http://www.diu.net.bd/
BD,Dhaka University of Engineering and Technology,http://www.duet.ac.bd/
BD,East Delta University,http://www.eastdelta.edu.bd/
BD,Eastern University,http://www.easternuni.edu.bd/
BD,East West University,http://www.ewubd.edu/
BD,"East-West University, Mohakhali",http://www.ewubd.edu/
BD,Green University of Bangladesh,http://www.green.edu.bd/
BD,Hajee Mohammad Danesh Science and Technology University,http://www.hstu.ac.bd/
BD,IBAIS University,http://www.ibaisuniv.edu.bd/
BD,"Independent University, Bangladesh",http://www.iub.edu.bd/
BD,International Culture University ,http://www.icu-edu.org/
BD,International Islamic University Chittagong,http://www.iiuc.ac.bd/
BD,International University of Business Agriculture and Technology,http://www.iubat.edu/
BD,Islamic University Kushtia,http://www.iu.ac.bd/
BD,Islamic University of Technology,http://www.iutoic-dhaka.edu/
BD,Jagannath University,http://www.jnu.ac.bd/
BD,Jahangirnagar University,http://www.juniv.edu/
BD,Jatiya Kabi Kazi Nazrul Islam University,http://www.jkkniu.edu.bd/
BD,Khulna University,http://www.ku.ac.bd/
BD,Khulna University of Engineering And Technology,http://www.kuet.ac.bd/
BD,Leading University,http://www.lus.ac.bd/
BD,Manarat International University,http://www.manarat.ac.bd/
BD,Mawlana Bhashani Science And Technology University,http://www.mbstu.ac.bd/
BD,Metropolitan University,http://www.metrouni.edu.bd/
BD,Military Institute of Science and Technology,http://www.mist.ac.bd/
BD,National University,http://www.nu.edu.bd/
BD,Noakhali University of Science and Technology,http://www.nstu.edu.bd/
BD,North East University Bangladesh,http://www.neub.edu.bd/
BD,Northern University Bangladesh,http://www.nub.ac.bd/
BD,North South University,http://www.northsouth.edu/
BD,Pabna University of Science and Technology,http://www.pust.ac.bd/
BD,Patuakhali Science and Technology University,http://www.pstu.ac.bd/
BD,People's University of Bangladesh,http://www.pub.ac.bd/
BD,Premier University,http://www.puc.ac.bd/
BD,Presidency University,http://www.presidency.edu.bd/
BD,Queens University,http://www.queensuniversity.edu.bd/
BD,Rajshahi University of Engineering and Technology,http://www.ruet.ac.bd/
BD,Shahjalal University of Science and Technology,http://www.sust.edu/
BD,Southeast University,http://www.seu.ac.bd/
BD,Southern University Bangladesh,http://www.southern.edu.bd/
BD,Stamford University,http://www.stamforduniversity.edu.bd/
BD,Sylhet Agricultural University,http://www.sau.ac.bd/
BD,Sylhet Engineering College,http://www.sec.ac.bd/
BD,Sylhet International University,http://www.siu.edu.bd/
BD,United International University,http://www.uiu.ac.bd/
BD,"University of Asia Pacific, Dhanmondi",http://www.uap-bd.edu/
BD,University of Chittagong,http://www.cu.ac.bd/
BD,University of Development Alternative,http://www.uoda.edu.bd/
BD,University of Dhaka,http://www.du.ac.bd/
BD,University of Information Technology & Sciences,http://www.uits.edu.bd/
BD,University of Liberal Arts,http://www.ulab.edu.bd/
BD,University of Rajshahi,http://www.ru.ac.bd/
BD,University of Science & Technology Chittagong,http://www.ustc.ac.bd/
BD,World University of Bangladesh,http://www.wub.edu/
